%CPU %MEM     PID TT       STIME     TIME CMD
12.7  0.0 1042569 pts/0    09:13 00:00:01 /bin/ksh tmon manu tes
 2.0  0.0 1043997 pts/0    09:13 00:00:00 sh /u1/etc/tmon/script/chk_cpu
 0.0  0.0      13 ?        Dec15 00:00:00 [watchdog/0]
 0.0  0.0      14 ?        Dec15 00:00:00 [cpuhp/0]
 0.0  0.0      15 ?        Dec15 00:00:00 [cpuhp/1]
 0.0  0.0      16 ?        Dec15 00:00:00 [watchdog/1]
 0.0  0.0      17 ?        Dec15 00:00:00 [migration/1]
 0.0  0.0      18 ?        Dec15 00:00:05 [ksoftirqd/1]
 0.0  0.0      20 ?        Dec15 00:00:00 [kworker/1:0H-events_highpri]
 0.0  0.0      21 ?        Dec15 00:00:00 [cpuhp/2]
 0.0  0.0      22 ?        Dec15 00:00:00 [watchdog/2]
 0.0  0.0      23 ?        Dec15 00:00:00 [migration/2]
 0.0  0.0      24 ?        Dec15 00:00:04 [ksoftirqd/2]
 0.0  0.0      26 ?        Dec15 00:00:00 [kworker/2:0H-events_highpri]
 0.0  0.0      27 ?        Dec15 00:00:00 [cpuhp/3]
 0.0  0.0      28 ?        Dec15 00:00:00 [watchdog/3]
 0.0  0.0      29 ?        Dec15 00:00:01 [migration/3]
 0.0  0.0      30 ?        Dec15 00:00:07 [ksoftirqd/3]
 0.0  0.0      32 ?        Dec15 00:00:00 [kworker/3:0H-events_highpri]
 0.0  0.0      33 ?        Dec15 00:00:00 [cpuhp/4]
 0.0  0.0      34 ?        Dec15 00:00:00 [watchdog/4]
 0.0  0.0      35 ?        Dec15 00:00:00 [migration/4]
 0.0  0.0      36 ?        Dec15 00:00:04 [ksoftirqd/4]
 0.0  0.0      38 ?        Dec15 00:00:00 [kworker/4:0H-events_highpri]
 0.0  0.0      40 ?        Dec15 00:00:00 [cpuhp/5]
 0.0  0.0      41 ?        Dec15 00:00:00 [watchdog/5]
 0.0  0.0      42 ?        Dec15 00:00:00 [migration/5]
 0.0  0.0      43 ?        Dec15 00:00:08 [ksoftirqd/5]
 0.0  0.0      45 ?        Dec15 00:00:00 [kworker/5:0H-events_highpri]
 0.0  0.0      46 ?        Dec15 00:00:00 [cpuhp/6]
 0.0  0.0      47 ?        Dec15 00:00:00 [watchdog/6]
 0.0  0.0      48 ?        Dec15 00:00:00 [migration/6]
 0.0  0.0      49 ?        Dec15 00:00:04 [ksoftirqd/6]
 0.0  0.0      51 ?        Dec15 00:00:00 [kworker/6:0H-events_highpri]
 0.0  0.0      52 ?        Dec15 00:00:00 [cpuhp/7]
 0.0  0.0      53 ?        Dec15 00:00:00 [watchdog/7]
 0.0  0.0      54 ?        Dec15 00:00:00 [migration/7]
 0.0  0.0      55 ?        Dec15 00:00:05 [ksoftirqd/7]
 0.0  0.0      57 ?        Dec15 00:00:00 [kworker/7:0H-events_highpri]
 0.0  0.0      58 ?        Dec15 00:00:00 [cpuhp/8]
 0.0  0.0      59 ?        Dec15 00:00:00 [watchdog/8]
 0.0  0.0      60 ?        Dec15 00:00:00 [migration/8]
 0.0  0.0      61 ?        Dec15 00:00:04 [ksoftirqd/8]
 0.0  0.0      63 ?        Dec15 00:00:00 [kworker/8:0H-events_highpri]
 0.0  0.0      65 ?        Dec15 00:00:00 [cpuhp/9]
 0.0  0.0      66 ?        Dec15 00:00:00 [watchdog/9]
 0.0  0.0      67 ?        Dec15 00:00:00 [migration/9]
 0.0  0.0      68 ?        Dec15 00:00:05 [ksoftirqd/9]
 0.0  0.0      70 ?        Dec15 00:00:00 [kworker/9:0H-events_highpri]
 0.0  0.0      71 ?        Dec15 00:00:00 [cpuhp/10]
 0.0  0.0      72 ?        Dec15 00:00:00 [watchdog/10]
 0.0  0.0      73 ?        Dec15 00:00:00 [migration/10]
 0.0  0.0      74 ?        Dec15 00:00:07 [ksoftirqd/10]
 0.0  0.0      76 ?        Dec15 00:00:00 [kworker/10:0H-events_highpri]
 0.0  0.0      77 ?        Dec15 00:00:00 [cpuhp/11]
 0.0  0.0      78 ?        Dec15 00:00:00 [watchdog/11]
 0.0  0.0      79 ?        Dec15 00:00:00 [migration/11]
 0.0  0.0      80 ?        Dec15 00:00:03 [ksoftirqd/11]
 0.0  0.0      82 ?        Dec15 00:00:00 [kworker/11:0H-events_highpri]
 0.0  0.0      83 ?        Dec15 00:00:00 [cpuhp/12]
 0.0  0.0      84 ?        Dec15 00:00:00 [watchdog/12]
 0.0  0.0      85 ?        Dec15 00:00:01 [migration/12]
 0.0  0.0      86 ?        Dec15 00:00:07 [ksoftirqd/12]
 0.0  0.0      88 ?        Dec15 00:00:00 [kworker/12:0H-events_highpri]
 0.0  0.0      90 ?        Dec15 00:00:00 [cpuhp/13]
 0.0  0.0      91 ?        Dec15 00:00:00 [watchdog/13]
 0.0  0.0      92 ?        Dec15 00:00:00 [migration/13]
 0.0  0.0      93 ?        Dec15 00:00:05 [ksoftirqd/13]
 0.0  0.0      95 ?        Dec15 00:00:00 [kworker/13:0H-events_highpri]
 0.0  0.0      96 ?        Dec15 00:00:00 [cpuhp/14]
 0.0  0.0      97 ?        Dec15 00:00:00 [watchdog/14]
 0.0  0.0      98 ?        Dec15 00:00:01 [migration/14]
 0.0  0.0      99 ?        Dec15 00:00:05 [ksoftirqd/14]
 0.0  0.0     101 ?        Dec15 00:00:00 [kworker/14:0H-events_highpri]
 0.0  0.0     102 ?        Dec15 00:00:00 [cpuhp/15]
 0.0  0.0     103 ?        Dec15 00:00:00 [watchdog/15]
 0.0  0.0     104 ?        Dec15 00:00:01 [migration/15]
 0.0  0.0     105 ?        Dec15 00:00:05 [ksoftirqd/15]
